country_iso3,scenario,n_historical_seasons_in_pool,p10_kg_ha,p50_kg_ha,p90_kg_ha,mean_kg_ha,prob_below_last_year,latest_observed_yield_kg_ha
AFG,driest_tercile,8,2116.773296916533,2307.608874201676,2318.331598912431,2237.7770094785155,0.497,2303.0
AFG,all_years,22,2172.8592025029598,2315.1140534590004,2368.1257904508925,2295.7251785952008,0.272,2303.0
AFG,wettest_tercile,8,2333.462933574125,2366.303021668825,2467.078983929339,2371.2255039652073,0.0,2303.0
IRN,driest_tercile,8,2032.9921273249815,2239.5558976397674,2366.316735734658,2259.74937868487,1.0,2420.4
IRN,all_years,22,2187.2213623482166,2381.2962215971647,2418.978622376581,2345.9881612076642,0.9134,2420.4
IRN,wettest_tercile,8,2330.4126260199114,2416.9898564638825,2433.9083033944257,2406.611599681227,0.76,2420.4
KAZ,driest_tercile,8,996.6651966209715,1019.5164976315345,1447.1124329647166,1103.26835792261,0.5042,1028.4
KAZ,all_years,22,1016.5006947177814,1160.760162802856,1301.6109583591513,1159.95586817192,0.1644,1028.4
KAZ,wettest_tercile,8,1044.9867588439329,1172.5768693754499,1391.1705102059946,1200.7391108788174,0.0,1028.4
NLD,driest_tercile,8,8045.8129561457135,8121.162387362638,8625.901181807061,8244.70236846818,0.2434,8079.5
NLD,all_years,22,7831.843788156264,8210.663055555546,8582.07417539682,8216.794593596382,0.3248,8079.5
NLD,wettest_tercile,8,7661.999055555538,8436.558987362625,8662.516972222222,8264.234846808096,0.2446,8079.5
PAK,driest_tercile,8,3575.2298195610156,3605.544876358808,3704.9617647689156,3613.5934180486074,0.881,3634.0
PAK,all_years,22,3378.2085783762604,3474.033829378677,3606.440978210659,3490.7442533948833,0.9552,3634.0
PAK,wettest_tercile,8,3368.1447010275933,3448.957081425104,3475.4106785850267,3430.471455206108,1.0,3634.0
TJK,driest_tercile,8,3264.478390684751,3435.5401936452586,3579.9503179196618,3400.6229502010065,1.0,3732.8
TJK,all_years,22,3301.4252410980976,3459.656491984626,3540.436110400732,3445.5992551261893,1.0,3732.8
TJK,wettest_tercile,8,3390.9617109477676,3461.2644661508098,3540.436110400732,3468.6465543632276,1.0,3732.8
TUR,driest_tercile,8,3297.1247101320614,3348.8644163637064,3418.325124456268,3348.180000807481,1.0,3659.1
TUR,all_years,22,3302.605835132061,3367.043393167457,3425.6465670881457,3364.993954960615,1.0,3659.1
TUR,wettest_tercile,8,3332.6963037453365,3417.581491163192,3449.7052550383683,3396.00137548846,1.0,3659.1
UKR,driest_tercile,8,4594.806500444926,4659.714722138044,4681.271376346802,4653.039908438136,1.0,5578.1
UKR,all_years,22,4533.86197791005,4615.012730603659,4681.221043013467,4617.684474309678,1.0,5578.1
UKR,wettest_tercile,8,4473.3543095839295,4607.11814247234,4816.018659139006,4604.14705889405,1.0,5578.1
UZB,driest_tercile,8,4514.15677200577,4531.9727029581545,4678.483069925444,4566.184835813497,1.0,5343.6
UZB,all_years,22,4527.0514781745915,4598.617160642126,4714.402464105332,4610.021179789502,1.0,5343.6
UZB,wettest_tercile,8,4583.474962878784,4701.744006926401,4733.234563708507,4659.765581375602,1.0,5343.6
