country_iso3,year,season_precip_total_mm,season_temp_mean_c,precip_m02_mm,temp_m02_c,precip_m03_mm,temp_m03_c,precip_m04_mm,temp_m04_c,precip_m05_mm,temp_m05_c,precip_m06_mm,temp_m06_c
AFG,2001,16.1,19.27,10.0,6.36,4.4,12.66,1.0,20.9,0.6,26.63,0.1,28.92
AFG,2002,60.5,17.72,26.2,6.61,9.4,13.0,17.4,17.84,7.1,22.39,0.4,28.03
AFG,2003,117.1,15.59,27.9,6.66,52.0,9.98,27.0,15.96,8.9,19.16,1.2,25.67
AFG,2004,56.8,17.71,9.8,8.85,20.0,11.88,23.8,16.22,3.2,23.48,0.0,27.8
AFG,2005,91.0,16.17,20.0,2.3,24.9,12.92,5.1,16.48,33.6,20.68,7.4,27.52
AFG,2006,90.7,18.29,39.1,9.28,44.9,11.68,6.7,17.76,0.0,24.74,0.0,27.37
AFG,2007,109.1,17.69,40.4,6.35,55.8,9.64,8.6,20.49,1.4,22.62,3.0,28.69
AFG,2008,50.1,18.17,30.0,1.64,6.4,15.33,10.8,18.65,2.8,25.31,0.0,29.21
AFG,2009,130.3,16.49,33.8,7.54,24.2,13.33,48.9,13.87,23.0,22.02,0.4,25.01
AFG,2010,139.6,17.37,63.7,5.25,41.3,13.11,15.3,17.95,17.3,22.23,1.9,27.49
AFG,2011,66.8,17.08,41.9,3.23,13.2,9.44,7.1,18.0,4.6,25.11,0.0,28.71
AFG,2012,110.5,15.26,33.2,0.74,30.6,8.09,18.0,18.23,28.3,22.17,0.3,26.59
AFG,2013,91.0,17.23,10.3,6.67,19.1,11.98,61.3,15.64,0.1,22.42,0.1,28.72
AFG,2014,53.1,15.74,10.6,-0.08,29.6,9.25,8.0,16.14,4.9,23.81,0.0,28.5
AFG,2015,131.8,16.71,72.3,6.39,33.1,8.28,21.3,17.12,5.0,23.09,0.0,28.03
AFG,2016,93.0,17.86,7.0,7.78,45.4,12.9,36.4,15.97,3.9,24.24,0.4,28.04
AFG,2017,111.3,16.54,84.3,3.79,13.2,9.41,11.2,15.56,2.6,24.84,0.0,28.21
AFG,2018,35.4,17.65,15.5,6.53,7.7,15.35,4.9,16.55,7.3,21.57,0.0,27.42
AFG,2019,183.2,15.77,89.9,4.31,62.7,10.61,24.5,15.96,4.6,21.71,1.6,25.48
AFG,2020,205.3,16.23,26.1,6.93,52.8,10.41,61.4,15.33,65.0,21.68,0.0,26.51
AFG,2021,44.5,17.99,8.7,8.72,23.8,10.91,4.1,17.1,7.8,23.89,0.0,28.76
AFG,2022,89.8,17.98,25.3,6.04,37.6,11.59,7.7,20.71,17.1,22.55,2.0,28.27
AFG,2023,67.2,18.5,44.0,6.63,12.1,15.47,9.8,17.83,1.3,22.37,0.0,29.4
PAK,2001,132.9,28.37,1.1,16.28,13.0,23.21,46.4,28.0,22.2,36.36,50.3,37.07
PAK,2002,71.8,29.12,17.6,15.72,11.2,23.23,6.8,30.25,16.0,36.61,20.2,38.82
PAK,2003,105.0,28.09,57.0,16.06,14.8,21.05,3.4,29.57,7.8,33.84,22.0,39.2
PAK,2004,76.4,29.72,6.5,17.33,0.0,26.46,14.9,31.51,5.2,35.44,49.8,37.37
PAK,2005,147.8,26.76,35.6,13.84,62.9,21.27,11.5,26.62,12.8,32.34,25.0,38.86
PAK,2006,124.6,28.92,6.1,20.12,22.3,21.52,1.9,29.37,34.7,37.06,59.6,35.93
PAK,2007,325.9,27.79,69.7,15.42,47.8,19.85,2.3,30.85,14.9,35.22,191.1,36.82
PAK,2008,190.6,27.86,5.0,14.73,0.5,25.34,74.9,26.99,29.1,34.56,81.1,37.07
PAK,2009,90.9,28.0,15.9,16.62,25.3,22.63,16.4,27.57,21.9,34.87,11.4,37.49
PAK,2010,58.0,29.68,14.6,16.35,9.2,25.78,2.8,32.12,9.5,35.58,21.9,37.63
PAK,2011,164.2,28.08,19.5,14.87,3.5,22.9,25.8,27.77,10.8,36.9,104.6,36.98
PAK,2012,56.7,27.12,9.2,12.92,3.6,21.17,32.4,28.28,2.8,34.19,8.7,38.53
PAK,2013,172.8,27.45,61.7,15.01,18.0,21.64,24.2,27.63,12.3,34.72,56.6,37.36
PAK,2014,144.1,26.87,7.0,14.82,21.5,20.68,65.4,26.95,29.0,32.37,21.2,38.73
PAK,2015,181.5,27.08,27.8,16.3,99.2,19.63,16.5,27.66,7.5,34.58,30.6,36.48
PAK,2016,131.5,28.69,6.5,17.22,50.6,22.64,13.9,28.55,13.1,36.43,47.4,38.2
PAK,2017,138.3,28.5,9.6,17.2,11.2,22.37,39.5,30.16,10.3,35.63,67.7,36.31
PAK,2018,149.9,28.31,15.2,16.99,13.3,24.13,33.2,29.12,16.9,34.0,71.3,36.51
PAK,2019,131.3,26.95,26.2,13.89,17.6,19.68,39.5,29.37,23.6,33.23,24.5,37.73
