country_iso3,year,wheat_yield_kg_ha
AFG,2001,897.7
AFG,2002,1541.9
AFG,2003,1500.0
AFG,2004,1265.9
AFG,2005,1821.5
AFG,2006,1376.0
AFG,2007,1818.3
AFG,2008,1226.3
AFG,2009,1966.6
AFG,2010,1925.2
AFG,2011,1517.9
AFG,2012,2010.4
AFG,2013,2024.8
AFG,2014,2023.7
AFG,2015,2195.9
AFG,2016,1980.3
AFG,2017,2034.2
AFG,2018,2210.0
AFG,2019,2095.1
AFG,2020,1943.4
AFG,2021,1963.1
AFG,2022,2045.3
AFG,2023,2150.6
ARG,2001,2235.4
ARG,2002,2033.2
ARG,2003,2539.2
ARG,2004,2627.1
ARG,2005,2530.9
ARG,2006,2625.8
ARG,2007,2830.6
ARG,2008,1963.3
ARG,2009,2757.1
ARG,2010,3503.4
ARG,2011,3225.1
ARG,2012,2658.4
ARG,2013,2661.9
ARG,2014,2810.0
ARG,2015,2862.3
ARG,2016,3304.7
ARG,2017,3180.6
ARG,2018,3216.0
ARG,2019,2938.7
ARG,2020,2759.5
ARG,2021,3382.5
ARG,2022,2287.6
ARG,2023,2843.4
AUS,2001,2107.6
AUS,2002,907.0
AUS,2003,1999.8
AUS,2004,1634.8
AUS,2005,2021.3
AUS,2006,917.3
AUS,2007,1078.8
AUS,2008,1583.1
AUS,2009,1572.9
AUS,2010,2030.1
AUS,2011,2151.1
AUS,2012,1760.9
AUS,2013,2006.1
AUS,2014,1917.2
AUS,2015,1974.3
AUS,2016,2610.0
AUS,2017,1917.8
AUS,2018,1691.7
AUS,2019,1468.1
AUS,2020,2524.9
AUS,2021,2847.0
AUS,2022,3187.5
AUS,2023,2667.6
AZE,2001,2615.4
AZE,2002,2602.8
AZE,2003,2559.9
AZE,2004,2574.8
AZE,2005,2581.8
AZE,2006,2605.0
AZE,2007,2672.2
AZE,2008,2725.1
AZE,2009,2594.6
AZE,2010,1938.1
AZE,2011,2437.6
AZE,2012,2614.4
AZE,2013,2671.9
AZE,2014,2328.5
AZE,2015,3038.5
AZE,2016,3047.5
AZE,2017,2968.7
AZE,2018,2938.3
AZE,2019,3155.5
AZE,2020,3090.8
AZE,2021,3210.1
AZE,2022,3111.3
AZE,2023,3302.0
CAN,2001,1945.2
CAN,2002,1832.4
CAN,2003,2256.5
CAN,2004,2640.9
CAN,2005,2738.1
CAN,2006,2609.6
CAN,2007,2331.7
CAN,2008,2857.5
CAN,2009,2789.7
CAN,2010,2808.5
CAN,2011,2956.8
CAN,2012,2874.3
CAN,2013,3598.0
CAN,2014,3081.8
CAN,2015,2892.5
CAN,2016,3580.5
CAN,2017,3381.5
CAN,2018,3274.2
CAN,2019,3383.4
CAN,2020,3537.4
CAN,2021,2437.5
CAN,2022,3449.0
CAN,2023,3120.1
CHN,2001,3806.1
CHN,2002,3776.6
CHN,2003,3931.8
CHN,2004,4251.9
CHN,2005,4275.3
CHN,2006,4593.5
CHN,2007,4607.6
CHN,2008,4762.0
CHN,2009,4739.0
CHN,2010,4748.6
CHN,2011,4837.6
CHN,2012,4986.9
CHN,2013,5055.6
CHN,2014,5243.5
CHN,2015,5392.7
CHN,2016,5396.5
CHN,2017,5484.1
CHN,2018,5416.6
CHN,2019,5629.8
CHN,2020,5742.1
CHN,2021,5810.6
CHN,2022,5855.4
CHN,2023,5781.1
DEU,2001,7882.7
DEU,2002,6905.6
DEU,2003,6498.5
DEU,2004,8171.6
DEU,2005,7465.1
DEU,2006,7200.7
DEU,2007,6961.1
